Kernel  	  C	  eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse  	  train avg mae	  train std mae	  test avg mae	  test std mae
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.00884 	              0	      1.02142 	0.0           	       0.879487	              0	      0.882942	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.901973	              0	      0.814268	0.0           	       0.806573	              0	      0.769129	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.927721	              0	      0.976061	0.0           	       0.70666 	              0	      0.727909	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.35749 	              0	      1.38156 	0.0           	       1.02495 	              0	      1.02927 	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.813669	              0	      0.77551 	0.0           	       0.766146	              0	      0.747782	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.680421	              0	      0.649691	0.0           	       0.622918	              0	      0.60579 	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.825493	              0	      0.801049	0.0           	       0.776258	              0	      0.77048 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.627534	              0	      0.662817	0.0           	       0.634428	              0	      0.653457	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.03894 	              0	      1.04985 	0.0           	       0.887131	              0	      0.899151	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.804786	              0	      0.794823	0.0           	       0.735906	              0	      0.734413	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.6933  	              0	      1.67953 	0.0           	       1.13352 	              0	      1.11726 	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.07891 	              0	      1.10156 	0.0           	       0.807936	              0	      0.809834	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.47657 	              0	      1.44402 	0.0           	       1.06924 	              0	      1.05029 	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.14015 	              0	      1.1723  	0.0           	       0.932639	              0	      0.959959	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.03009 	              0	      0.995525	0.0           	       0.888901	              0	      0.873886	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.947544	              0	      0.936931	0.0           	       0.674637	              0	      0.68007 	             0
