  Monk	Kernel  	Gamma  	  Degree	    C	  opt tol	train mse          	  test mse	  train acc	  test acc
     1	linear  	scale  	       1	 10  	    0.1  	0.31451612903225806	  0.347222	   0.685484	  0.652778
     1	rbf     	auto   	       1	 10  	    0.001	0.2661290322580645 	  0.314815	   0.733871	  0.685185
     1	rbf     	scale  	       1	 10  	    0.001	0.2661290322580645 	  0.314815	   0.733871	  0.685185
     1	poly    	scale  	       3	 10  	    0.001	0.21774193548387097	  0.293981	   0.782258	  0.706019
     1	poly    	scale  	       5	 10  	    0.001	0.1693548387096774 	  0.252315	   0.830645	  0.747685
     1	poly    	scale  	       7	 10  	    0.001	0.11290322580645161	  0.231481	   0.887097	  0.768519
     1	linear  	scale  	       1	 10  	    0.001	0.31451612903225806	  0.347222	   0.685484	  0.652778
     1	rbf     	auto   	       1	 10  	    1e-08	0.2661290322580645 	  0.314815	   0.733871	  0.685185
     1	rbf     	scale  	       1	 10  	    1e-08	0.2661290322580645 	  0.314815	   0.733871	  0.685185
     1	poly    	scale  	       3	 10  	    1e-08	0.21774193548387097	  0.293981	   0.782258	  0.706019
     1	poly    	scale  	       5	 10  	    1e-08	0.1693548387096774 	  0.252315	   0.830645	  0.747685
     1	poly    	scale  	       7	 10  	    1e-08	0.11290322580645161	  0.231481	   0.887097	  0.768519
     1	linear  	scale  	       1	 10  	    1e-08	0.31451612903225806	  0.347222	   0.685484	  0.652778
     1	rbf     	auto   	       1	 50  	    0.1  	0.16129032258064516	  0.247685	   0.83871 	  0.752315
     1	rbf     	scale  	       1	 50  	    0.1  	0.16129032258064516	  0.247685	   0.83871 	  0.752315
     1	poly    	scale  	       3	 50  	    0.1  	0.12096774193548387	  0.229167	   0.879032	  0.770833
     1	poly    	scale  	       5	 50  	    0.1  	0.10483870967741936	  0.185185	   0.895161	  0.814815
     1	poly    	scale  	       7	 50  	    0.1  	0.08870967741935484	  0.18287 	   0.91129 	  0.81713
     1	linear  	scale  	       1	 50  	    0.1  	0.3064516129032258 	  0.361111	   0.693548	  0.638889
     1	rbf     	auto   	       1	 50  	    0.001	0.16129032258064516	  0.247685	   0.83871 	  0.752315
     1	rbf     	scale  	       1	 50  	    0.001	0.16129032258064516	  0.247685	   0.83871 	  0.752315
     1	poly    	scale  	       3	 50  	    0.001	0.12096774193548387	  0.229167	   0.879032	  0.770833
     1	poly    	scale  	       5	 50  	    0.001	0.10483870967741936	  0.185185	   0.895161	  0.814815
     1	poly    	scale  	       7	 50  	    0.001	0.08870967741935484	  0.18287 	   0.91129 	  0.81713
     1	linear  	scale  	       1	 50  	    0.001	0.3064516129032258 	  0.361111	   0.693548	  0.638889
     1	rbf     	auto   	       1	 50  	    1e-08	0.16129032258064516	  0.247685	   0.83871 	  0.752315
     1	rbf     	scale  	       1	 50  	    1e-08	0.16129032258064516	  0.247685	   0.83871 	  0.752315
     1	poly    	scale  	       3	 50  	    1e-08	0.12096774193548387	  0.229167	   0.879032	  0.770833
     1	poly    	scale  	       5	 50  	    1e-08	0.10483870967741936	  0.185185	   0.895161	  0.814815
     1	poly    	scale  	       7	 50  	    1e-08	0.08870967741935484	  0.18287 	   0.91129 	  0.81713
     1	linear  	scale  	       1	 50  	    1e-08	0.3064516129032258 	  0.361111	   0.693548	  0.638889
     1	rbf     	auto   	       1	100  	    0.1  	0.11290322580645161	  0.210648	   0.887097	  0.789352
     1	rbf     	scale  	       1	100  	    0.1  	0.11290322580645161	  0.210648	   0.887097	  0.789352
     1	poly    	scale  	       3	100  	    0.1  	0.10483870967741936	  0.199074	   0.895161	  0.800926
     1	poly    	scale  	       5	100  	    0.1  	0.08870967741935484	  0.178241	   0.91129 	  0.821759
     1	poly    	scale  	       7	100  	    0.1  	0.06451612903225806	  0.168981	   0.935484	  0.831019
     1	linear  	scale  	       1	100  	    0.1  	0.2903225806451613 	  0.354167	   0.709677	  0.645833
     1	rbf     	auto   	       1	100  	    0.001	0.11290322580645161	  0.210648	   0.887097	  0.789352
     1	rbf     	scale  	       1	100  	    0.001	0.11290322580645161	  0.210648	   0.887097	  0.789352
     1	poly    	scale  	       3	100  	    0.001	0.10483870967741936	  0.199074	   0.895161	  0.800926
     1	poly    	scale  	       5	100  	    0.001	0.08870967741935484	  0.178241	   0.91129 	  0.821759
     1	poly    	scale  	       7	100  	    0.001	0.06451612903225806	  0.168981	   0.935484	  0.831019
     1	linear  	scale  	       1	100  	    0.001	0.2903225806451613 	  0.354167	   0.709677	  0.645833
     1	rbf     	auto   	       1	100  	    1e-08	0.11290322580645161	  0.210648	   0.887097	  0.789352
     1	rbf     	scale  	       1	100  	    1e-08	0.11290322580645161	  0.210648	   0.887097	  0.789352
     1	poly    	scale  	       3	100  	    1e-08	0.10483870967741936	  0.199074	   0.895161	  0.800926
     1	poly    	scale  	       5	100  	    1e-08	0.08870967741935484	  0.178241	   0.91129 	  0.821759
     1	poly    	scale  	       7	100  	    1e-08	0.06451612903225806	  0.168981	   0.935484	  0.831019
     1	linear  	scale  	       1	100  	    1e-08	0.2903225806451613 	  0.354167	   0.709677	  0.645833
