Kernel  	    C	   eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse        	  train avg mae	  train std mae	  test avg mae	  test std mae
poly    	  0.1	0.0001	scale  	       3	    0.001	          0.33	       0       	      0        	      0       	Exception
poly    	  0.1	0.0001	scale  	       3	    0.001	          0.2 	       0.914127	      0.109386 	      0.919459	0.1156747951795772  	       0.743123	      0.09582  	      0.744121	     0.0944894
poly    	  0.1	0.0001	scale  	       5	    0.001	          0.5 	       0.948597	      0.165628 	      0.95282 	0.16352996036733303 	       0.76389 	      0.118156 	      0.768334	     0.116168
poly    	  0.1	0.0001	scale  	       5	    0.001	          0.33	       1.0087  	      0.121878 	      0.993761	0.11248605151714619 	       0.799244	      0.10553  	      0.79185 	     0.0990646
poly    	  0.1	0.0001	scale  	       5	    0.001	          0.2 	       0.989204	      0.0661393	      1.0069  	0.08150238813727834 	       0.78357 	      0.106021 	      0.788568	     0.112879
poly    	  0.1	0.0001	scale  	       7	    0.001	          0.5 	       0.94816 	      0.152    	      0.959784	0.13153046857098094 	       0.776148	      0.120444 	      0.78245 	     0.11233
poly    	  0.1	0.0001	scale  	       7	    0.001	          0.33	       1.01989 	      0.118108 	      1.00198 	0.10105045253727774 	       0.819293	      0.105291 	      0.812747	     0.105288
poly    	  0.1	0.0001	scale  	       7	    0.001	          0.2 	       0.996004	      0.0730466	      1.02627 	0.08998019960518708 	       0.787047	      0.106351 	      0.798648	     0.111203
linear  	  0.1	0.0001	scale  	       1	    0.001	          0.5 	       0.921566	      0.152057 	      0.917114	0.16043456708054174 	       0.779234	      0.0859607	      0.776372	     0.0946581
linear  	  0.1	0.0001	scale  	       1	    0.001	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.0001	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	1e-08 	auto   	       1	    0.001	          0.5 	       0.967654	      0.133175 	      0.961463	0.1603657335366369  	       0.761644	      0.097564 	      0.759258	     0.110682
rbf     	  0.1	1e-08 	auto   	       1	    0.001	          0.33	       0.940525	      0.111167 	      0.934364	0.14402969477145935 	       0.780284	      0.104434 	      0.780128	     0.114394
rbf     	  0.1	1e-08 	auto   	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	1e-08 	scale  	       1	    0.001	          0.5 	       0.975325	      0.205417 	      1.00095 	0.18925178100474127 	       0.800967	      0.120865 	      0.814576	     0.118156
rbf     	  0.1	1e-08 	scale  	       1	    0.001	          0.33	       0.965502	      0.122823 	      0.968416	0.15689529712451708 	       0.795925	      0.099947 	      0.794622	     0.109279
rbf     	  0.1	1e-08 	scale  	       1	    0.001	          0.2 	       0.992153	      0.077931 	      0.990045	0.08789449707313936 	       0.827571	      0.0848796	      0.828554	     0.0849591
poly    	  0.1	1e-08 	scale  	       3	    0.001	          0.5 	       0.941876	      0.0702288	      0.951452	0.08305778304145221 	       0.759652	      0.0963316	      0.766168	     0.101384
poly    	  0.1	1e-08 	scale  	       3	    0.001	          0.33	       0.970403	      0.0702972	      0.986425	0.09180538649028802 	       0.804247	      0.0945463	      0.811888	     0.104325
poly    	  0.1	1e-08 	scale  	       3	    0.001	          0.2 	       0.996176	      0.0653004	      0.998089	0.10072720819033658 	       0.83101 	      0.0757579	      0.832818	     0.0872988
poly    	  0.1	1e-08 	scale  	       5	    0.001	          0.5 	       0.961239	      0.165206 	      0.956409	0.14339386430771245 	       0.809428	      0.105846 	      0.805837	     0.0949844
poly    	  0.1	1e-08 	scale  	       5	    0.001	          0.33	       1.02488 	      0.0571339	      1.03722 	0.08575785420022411 	       0.864595	      0.0675149	      0.87041 	     0.0784402
poly    	  0.1	1e-08 	scale  	       5	    0.001	          0.2 	       0.985386	      0.0410921	      0.950776	0.06944912053708771 	       0.832869	      0.0801757	      0.817879	     0.0856563
poly    	  0.1	1e-08 	scale  	       7	    0.001	          0.5 	       1.01106 	      0.162173 	      1.02821 	0.17541508040751444 	       0.809067	      0.107037 	      0.820862	     0.115184
poly    	  0.1	1e-08 	scale  	       7	    0.001	          0.33	       1.01945 	      0.0966066	      1.06011 	0.08823038663370794 	       0.825455	      0.0913068	      0.839096	     0.0896151
poly    	  0.1	1e-08 	scale  	       7	    0.001	          0.2 	       0.910246	      0.127708 	      0.894398	0.11848301032050135 	       0.73363 	      0.113965 	      0.726816	     0.108367
linear  	  0.1	1e-08 	scale  	       1	    0.001	          0.5 	       0.959229	      0.157321 	      0.947548	0.14899913295699463 	       0.804367	      0.0956538	      0.805651	     0.0941901
linear  	  0.1	1e-08 	scale  	       1	    0.001	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	1e-08 	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.1   	auto   	       1	    1e-08	          0.5 	       1.0747  	      0.365416 	      1.06372 	0.3405339901099767  	       0.822158	      0.158083 	      0.820012	     0.148937
rbf     	  0.1	0.1   	auto   	       1	    1e-08	          0.33	       0       	      0        	      0       	Exception
rbf     	  0.1	0.1   	auto   	       1	    1e-08	          0.2 	       0.949267	      0.102744 	      0.924961	0.10366267445873772 	       0.787323	      0.0948793	      0.774296	     0.0945669
rbf     	  0.1	0.1   	scale  	       1	    1e-08	          0.5 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.1   	scale  	       1	    1e-08	          0.33	       1.00507 	      0.317394 	      1.01418 	0.33347457569740757 	       0.762295	      0.139767 	      0.764055	     0.142801
rbf     	  0.1	0.1   	scale  	       1	    1e-08	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.1   	scale  	       3	    1e-08	          0.5 	       1.00723 	      0.0934275	      0.986059	0.11935863478809867 	       0.828762	      0.0913363	      0.816062	     0.0996185
poly    	  0.1	0.1   	scale  	       3	    1e-08	          0.33	       0.942553	      0.0794546	      0.972982	0.08013682720396612 	       0.762201	      0.10143  	      0.773811	     0.0903464
poly    	  0.1	0.1   	scale  	       3	    1e-08	          0.2 	       0.987826	      0.183983 	      0.995543	0.18990419712730602 	       0.773065	      0.122234 	      0.777835	     0.125339
poly    	  0.1	0.1   	scale  	       5	    1e-08	          0.5 	       0       	      0        	      0       	Exception
poly    	  0.1	0.1   	scale  	       5	    1e-08	          0.33	       0       	      0        	      0       	Exception
poly    	  0.1	0.1   	scale  	       5	    1e-08	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.1   	scale  	       7	    1e-08	          0.5 	       0       	      0        	      0       	Exception
poly    	  0.1	0.1   	scale  	       7	    1e-08	          0.33	       0.97504 	      0.0473863	      1.00217 	0.07905739340905868 	       0.791452	      0.100131 	      0.80416 	     0.101807
poly    	  0.1	0.1   	scale  	       7	    1e-08	          0.2 	       1.01217 	      0.124264 	      1.0806  	0.17103885345101977 	       0.74777 	      0.0894252	      0.77401 	     0.0894278
linear  	  0.1	0.1   	scale  	       1	    1e-08	          0.5 	       0       	      0        	      0       	Exception
linear  	  0.1	0.1   	scale  	       1	    1e-08	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.1   	scale  	       1	    1e-08	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	auto   	       1	    1e-08	          0.5 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	auto   	       1	    1e-08	          0.33	       1.02353 	      0.153776 	      1.02313 	0.12361997790418985 	       0.829965	      0.104208 	      0.830438	     0.0930046
rbf     	  0.1	0.01  	auto   	       1	    1e-08	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	scale  	       1	    1e-08	          0.5 	       0.989795	      0.0669445	      1.00985 	0.06747854649830949 	       0.853731	      0.0621679	      0.862782	     0.060952
rbf     	  0.1	0.01  	scale  	       1	    1e-08	          0.33	       0.883176	      0.0992782	      0.894853	0.0948967880375599  	       0.709861	      0.0601677	      0.71031 	     0.0595262
rbf     	  0.1	0.01  	scale  	       1	    1e-08	          0.2 	       0.990676	      0.100336 	      0.972674	0.12406344720599531 	       0.823869	      0.0927624	      0.816936	     0.0996548
poly    	  0.1	0.01  	scale  	       3	    1e-08	          0.5 	       0       	      0        	      0       	Exception
poly    	  0.1	0.01  	scale  	       3	    1e-08	          0.33	       0.953351	      0.0540468	      0.941855	0.06407384902929839 	       0.76461 	      0.0942512	      0.759498	     0.0947135
poly    	  0.1	0.01  	scale  	       3	    1e-08	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.01  	scale  	       5	    1e-08	          0.5 	       1.03443 	      0.133451 	      1.02283 	0.12285704819005877 	       0.828135	      0.108726 	      0.823231	     0.101409
poly    	  0.1	0.01  	scale  	       5	    1e-08	          0.33	       1.08152 	      0.137344 	      1.0742  	0.147943406885113   	       0.840242	      0.084188 	      0.83821 	     0.0946039
poly    	  0.1	0.01  	scale  	       5	    1e-08	          0.2 	       1.00618 	      0.0497882	      1.02356 	0.07144899692045346 	       0.803615	      0.0972959	      0.814102	     0.101506
poly    	  0.1	0.01  	scale  	       7	    1e-08	          0.5 	       0       	      0        	      0       	Exception
poly    	  0.1	0.01  	scale  	       7	    1e-08	          0.33	       1.02137 	      0.0763603	      1.01362 	0.09036992086037947 	       0.80244 	      0.099607 	      0.797306	     0.111418
poly    	  0.1	0.01  	scale  	       7	    1e-08	          0.2 	       1.00137 	      0.0904341	      1.00342 	0.11012738918397576 	       0.755907	      0.10082  	      0.7559  	     0.0937594
linear  	  0.1	0.01  	scale  	       1	    1e-08	          0.5 	       0       	      0        	      0       	Exception
linear  	  0.1	0.01  	scale  	       1	    1e-08	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.01  	scale  	       1	    1e-08	          0.2 	       0       	      0        	      0       	Exception
