sigmoid	1	1e-05	0.001	auto	1	1e-05	nan	nan	nan	nan	nan	nan	nan	nan
rbf	1	1e-05	0.01	scale	1	1e-05	51.9534	1.83392	1295.72	384.004	6.20725	0.118933	31.3309	5.22618
sigmoid	1	1e-05	0.001	scale	1	1e-05	53.5982	2.32997	1006.41	834.377	6.31268	0.331498	25.5986	10.9987
rbf	1	1e-05	0.1	auto	1	1e-07	101.723	18.3439	671.937	474.337	9.56465	1.22318	21.1589	10.528
sigmoid	1	1e-05	0.1	auto	1	1e-07	96.9343	26.1791	302.941	227.264	9.41804	1.21633	15.098	5.75698
rbf	1	0.001	0.01	scale	1	1e-07	53.2691	3.08002	1422.67	447.067	6.51339	0.369586	32.9357	6.22229
rbf	1	1e-05	0.001	scale	1	1e-05	52.6102	2.01769	1451.5	434.871	6.48035	0.281055	33.2316	6.05735
rbf	1	1e-05	0.1	scale	1	1e-07	106.782	28.3407	512.191	440.606	9.39885	0.990372	18.81	9.07566
sigmoid	1	1e-05	0.01	auto	1	1e-07	43.0714	8.03955	965.539	428.513	5.73418	0.651921	26.9904	8.75901
rbf	1	1e-05	0.01	auto	1	1e-07	57.5592	13.5525	546.458	493.335	6.25762	0.397217	18.9935	8.55717
sigmoid	1	1e-05	0.1	scale	1	1e-07	82.5469	11.8614	991.193	1026.04	8.40831	0.637027	23.8504	15.5033
sigmoid	1	1e-05	0.001	auto	1	1e-07	nan	nan	nan	nan	nan	nan	nan	nan
rbf	1	1e-05	0.001	auto	1	1e-07	48.7851	10.42	1092.73	671.022	5.94447	0.458704	27.8989	11.4042
rbf	10	0.1	0.1	auto	1	0.001	85.8355	15.3289	913.009	951.636	8.74597	0.83655	23.3483	15.2227
rbf	10	0.1	0.1	scale	1	0.001	179.361	214.287	1934.8	1915.25	10.8686	5.94817	35.4404	17.3101
sigmoid	10	0.1	0.1	scale	1	0.001	127.73	50.8692	1159.37	1862.63	10.0715	1.65655	22.873	19.3323
sigmoid	10	0.1	0.1	auto	1	0.001	85.8119	15.2121	805.043	835.465	8.70509	0.846426	22.0069	14.1106
rbf	10	0.1	0.01	auto	1	0.001	51.5823	1.23328	904.295	725.271	6.14443	0.10216	24.4965	9.84183
sigmoid	1	1e-05	0.01	scale	1	1e-07	53.666	3.41167	2122.08	735.334	6.34752	0.293019	40.4339	9.49855
sigmoid	10	0.1	0.01	auto	1	0.001	51.5747	3.0708	848.987	705.752	6.13299	0.14223	23.6915	9.87906
sigmoid	1	1e-05	0.001	scale	1	1e-07	53.4686	2.4433	1004.03	835.65	6.33561	0.322811	25.5658	11.0173
rbf	10	0.1	0.001	auto	1	0.001	50.8964	1.604	1671.93	949.434	6.27031	0.141068	34.5549	12.7007
sigmoid	10	0.1	0.01	scale	1	0.001	52.6863	1.33208	1355.09	610.421	6.34432	0.189755	30.6219	8.68168
sigmoid	10	0.1	0.001	auto	1	0.001	51.2219	2.49299	881.607	807.711	6.21218	0.19159	23.9073	11.1507
rbf	1	1e-05	0.01	scale	1	1e-07	52.9287	2.31312	1590.41	351.068	6.31416	0.27194	35.1868	4.63943
sigmoid	10	0.1	0.001	scale	1	0.001	54.2096	3.08395	1652.19	589.158	6.65855	0.282026	35.0877	8.62906
rbf	1	1e-05	0.001	scale	1	1e-07	52.9017	1.74164	1291.54	276.781	6.41831	0.343177	31.2481	3.63827
rbf	10	0.1	0.1	auto	1	1e-05	100.268	23.2758	966.486	991.024	9.3202	0.955045	24.2931	15.5025
rbf	10	0.1	0.01	scale	1	0.001	52.1364	0.64843	4032.9	373.708	6.46871	0.165772	52.3499	3.43518
sigmoid	10	0.1	0.1	auto	1	1e-05	96.8923	50.111	1539.48	665.631	8.72954	2.17857	34.5035	10.2987
rbf	10	0.1	0.1	scale	1	1e-05	87.5266	26.7643	1089.01	452.768	8.49987	1.20643	29.653	8.19113
rbf	10	0.1	0.01	auto	1	1e-05	56.0358	4.31078	1358.91	957.504	6.26424	0.463575	30.5369	12.7706
sigmoid	10	0.1	0.01	auto	1	1e-05	50.9177	1.24693	1259.64	928.628	6.08098	0.162828	29.2976	12.8664
sigmoid	10	0.1	0.1	scale	1	1e-05	98.635	31.4536	1328.08	1288.41	8.85989	1.33747	28.5042	17.0927
rbf	10	0.1	0.001	scale	1	0.001	51.9701	1.75246	4373.38	582.031	6.41795	0.264919	53.5948	5.68621
rbf	10	0.1	0.001	auto	1	1e-05	52.1017	1.66989	1701.6	962.76	6.13353	0.186284	34.9494	12.7949
sigmoid	10	0.1	0.001	auto	1	1e-05	55.4017	5.24716	1251.58	952.923	6.29133	0.310942	28.8538	12.9848
rbf	10	0.1	0.1	auto	1	1e-07	97.9491	17.7123	931.904	950.222	9.15746	0.634363	23.7695	14.9281
sigmoid	10	0.1	0.01	scale	1	1e-05	52.7576	1.17895	1352.27	568.041	6.34732	0.130957	30.8445	8.30152
rbf	10	0.1	0.01	scale	1	1e-05	54.6884	3.42211	4116.08	481.866	6.71555	0.32696	52.0415	2.97792
rbf	10	0.1	0.1	scale	1	1e-07	78.3722	13.9936	844.194	556.48	8.23664	0.793406	24.8396	10.5453
