  Monk	Kernel  	Gamma  	  Degree	    C	  opt tol	  train mse	  test mse	  train acc	  test acc
     2	poly    	scale  	       3	 50  	    1e-08	   0.43787 	  0.469907	   0.56213 	  0.530093
     2	poly    	scale  	       5	 50  	    1e-08	   0.443787	  0.460648	   0.556213	  0.539352
     2	poly    	scale  	       7	 50  	    1e-08	   0.443787	  0.462963	   0.556213	  0.537037
     2	linear  	scale  	       1	 50  	    1e-08	   0.431953	  0.469907	   0.568047	  0.530093
     2	rbf     	auto   	       1	100  	    0.1  	   0.272189	  0.342593	   0.727811	  0.657407
     2	rbf     	scale  	       1	100  	    0.1  	   0.236686	  0.363426	   0.763314	  0.636574
     2	poly    	scale  	       3	100  	    0.1  	   0.431953	  0.469907	   0.568047	  0.530093
     2	poly    	scale  	       5	100  	    0.1  	   0.443787	  0.467593	   0.556213	  0.532407
     2	poly    	scale  	       7	100  	    0.1  	   0.431953	  0.456019	   0.568047	  0.543981
     2	linear  	scale  	       1	100  	    0.1  	   0.43787 	  0.472222	   0.56213 	  0.527778
     2	rbf     	auto   	       1	100  	    0.001	   0.272189	  0.342593	   0.727811	  0.657407
     2	rbf     	scale  	       1	100  	    0.001	   0.236686	  0.363426	   0.763314	  0.636574
     2	poly    	scale  	       3	100  	    0.001	   0.431953	  0.469907	   0.568047	  0.530093
     2	poly    	scale  	       5	100  	    0.001	   0.443787	  0.467593	   0.556213	  0.532407
     2	poly    	scale  	       7	100  	    0.001	   0.431953	  0.456019	   0.568047	  0.543981
     2	linear  	scale  	       1	100  	    0.001	   0.43787 	  0.472222	   0.56213 	  0.527778
     2	rbf     	auto   	       1	100  	    1e-08	   0.272189	  0.342593	   0.727811	  0.657407
     2	rbf     	scale  	       1	100  	    1e-08	   0.236686	  0.363426	   0.763314	  0.636574
     2	poly    	scale  	       3	100  	    1e-08	   0.431953	  0.469907	   0.568047	  0.530093
     2	poly    	scale  	       5	100  	    1e-08	   0.443787	  0.467593	   0.556213	  0.532407
     2	poly    	scale  	       7	100  	    1e-08	   0.431953	  0.456019	   0.568047	  0.543981
     2	linear  	scale  	       1	100  	    1e-08	   0.43787 	  0.472222	   0.56213 	  0.527778
