Kernel  	  C	  eps	gamma  	  degree	  opt tol	   train avg mse	   train std mse	    test avg mse	    test std mse	  train avg mae	  train std mae	  test avg mae	  test std mae	  train avg mee	  train std mee	  test avg mee	  test std mee
rbf     	100	0.001	auto   	       1	    0.1  	     5.5181e+06 	     4.18575e+06	     6.38554e+06	     5.1486e+06 	       1411.29 	       842.189 	      1464.21 	      1015.83 	       2822.85 	       2031.65 	      2928.26 	      2031.65
rbf     	100	0.001	scale  	       1	    0.1  	     5.47582e+06	     4.2704e+06 	     5.91131e+06	     4.6935e+06 	       1482.68 	       646.312 	      1507.68 	       781.597	       2966.15 	       1561.58 	      3016.33 	      1561.58
poly    	100	0.001	scale  	       3	    0.1  	302851          	435192          	364053          	398493          	        277.8  	       204.689 	       350.724	       200.802	        560.746	        401.776	       701.414	       401.776
poly    	100	0.001	scale  	       7	    0.1  	258964          	245801          	297809          	396550          	        277.954	       123.631 	       259.54 	       179.402	        567.667	        354.212	       518.957	       354.212
linear  	100	0.001	scale  	       1	    0.1  	110885          	 23149.6        	159970          	135884          	        198.508	        23.4192	       233.684	       121.466	        401.564	        242.538	       467.394	       242.538
rbf     	100	0.1  	auto   	       1	    0.001	     1.00608e+07	     9.06524e+06	     1.07823e+07	     9.73527e+06	       1923.68 	      1106.85  	      1962.71 	      1223.57 	       3848.32 	       2444.99 	      3927.11 	      2444.99
rbf     	100	0.1  	scale  	       1	    0.001	     1.09865e+07	     7.57437e+06	     1.21465e+07	     9.01908e+06	       2040.61 	      1019.17  	      2070.54 	      1231.15 	       4081.5  	       2460.72 	      4141.9  	      2460.72
poly    	100	0.1  	scale  	       3	    0.001	138174          	 55968          	192122          	183923          	        218.799	        41.0403	       236.037	       141.487	        445.743	        282.416	       473.362	       282.416
poly    	100	0.1  	scale  	       7	    0.001	237548          	194855          	289622          	298468          	        273.266	       120.107 	       296.91 	       147.271	        558.573	        297.067	       593.869	       297.067
linear  	100	0.1  	scale  	       1	    0.001	107944          	 17461.9        	155221          	137170          	        196.881	        19.3624	       230.521	       123.266	        396.92 	        246.242	       461.072	       246.242
rbf     	100	0.01 	auto   	       1	    0.001	     7.13163e+06	     5.64802e+06	     7.74527e+06	     6.00304e+06	       1646.95 	       879.524 	      1703.48 	       964.772	       3294.3  	       1929.32 	      3406.56 	      1929.32
rbf     	100	0.01 	scale  	       1	    0.001	     6.43603e+06	     5.08639e+06	     6.96791e+06	     5.2897e+06 	       1565.1  	       807.552 	      1601.95 	       920.754	       3130.49 	       1842.53 	      3203.18 	      1842.53
poly    	100	0.01 	scale  	       3	    0.001	110570          	 26209.1        	160090          	137403          	        197.461	        25.9046	       235.919	       120.33 	        401.805	        241.043	       471.189	       241.043
poly    	100	0.01 	scale  	       7	    0.001	206621          	106580          	271120          	230994          	        256.853	        61.9095	       283.622	       140.839	        526.289	        281.478	       567.092	       281.478
linear  	100	0.01 	scale  	       1	    0.001	148856          	 90878.5        	190129          	190892          	        222.669	        59.234 	       245.462	       141.056	        447.877	        281.871	       490.666	       281.871
rbf     	100	0.001	auto   	       1	    0.001	     5.5181e+06 	     4.18575e+06	     6.38554e+06	     5.1486e+06 	       1411.27 	       842.185 	      1464.19 	      1015.83 	       2822.85 	       2031.64 	      2928.26 	      2031.64
rbf     	100	0.001	scale  	       1	    0.001	     5.47582e+06	     4.2704e+06 	     5.91131e+06	     4.6935e+06 	       1482.66 	       646.315 	      1507.66 	       781.599	       2966.15 	       1561.58 	      3016.33 	      1561.58
poly    	100	0.001	scale  	       3	    0.001	302851          	435192          	364053          	398493          	        277.747	       204.683 	       350.67 	       200.8  	        560.747	        401.776	       701.414	       401.776
poly    	100	0.001	scale  	       7	    0.001	258964          	245801          	297809          	396550          	        277.748	       123.646 	       259.334	       179.422	        567.669	        354.21 	       518.961	       354.21
linear  	100	0.001	scale  	       1	    0.001	110885          	 23149.6        	159970          	135884          	        198.496	        23.4169	       233.672	       121.471	        401.564	        242.538	       467.394	       242.538
